,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x,stunting(percentage),overweight(percentage),Country,Code,Income group,Region,Continent,principal component 1,principal component 2,Continent_Cluster,Region_Cluster,Income group_Cluster
31,27.63,31.21,12.0,3.47,1.8,9.3,Chile,CHL,High income,Latin America & Caribbean,South America,1.9824822811234117,0.20818476375808026,5,5,3
34,18.36,34.15,8.879999999999999,8.25,8.1,9.1,China,CHN,Upper middle income,East Asia & Pacific,Asia,0.9558122042262029,0.17197790996604181,0,3,3
36,15.899999999999999,17.94,13.78,1.82,12.6,4.8,Colombia,COL,Upper middle income,Latin America & Caribbean,South America,0.5584169181159023,0.8942725271913622,0,3,3
37,7.3100000000000005,13.86,1.2,7.65,21.2,5.9,Congo,COG,Lower middle income,Sub-Saharan Africa,Africa,-1.0896958947532553,1.5451573705207209,1,0,2
38,16.02,20.57,19.04,3.74,5.6,8.1,Costa Rica,CRI,Upper middle income,Latin America & Caribbean,North America,1.5066192246778587,0.684985934037099,0,3,3
39,2.0700000000000003,22.27,1.22,4.95,21.6,1.5,Côte d'Ivoire,CIV,Lower middle income,Sub-Saharan Africa,Africa,-1.7598930414267242,0.775495964768698,1,0,2
43,21.099999999999998,24.67,23.400000000000002,2.62,2.6,4.4,Czechia,CZE,High income,Europe & Central Asia,Eurpoe,1.9200550463012729,0.5804178615727406,5,5,3
44,2.55,27.69,1.78,2.58,19.1,2.3,Democratic People's Republic of Korea,PRK,Low income,East Asia & Pacific,Asia,-1.5020617474213798,0.13034979787091103,1,2,0
46,6.569999999999999,37.06,4.6499999999999995,1.01,33.5,8.1,Djibouti,DJI,Lower middle income,Middle East & North Africa,Africa,-1.123730222684531,-1.1860205921692977,2,6,0
48,14.43,17.54,7.91,2.33,7.1,7.6,Dominican Republic,DOM,Upper middle income,Latin America & Caribbean,North America,0.5301307691583019,0.9245851456736642,0,3,3
49,17.400000000000002,18.78,14.44,2.41,23.9,8.0,Ecuador,ECU,Upper middle income,Latin America & Caribbean,South America,0.5093591509798445,0.5887821065306609,0,3,3
50,10.059999999999999,60.2,7.25,6.33,22.3,15.7,Egypt,EGY,Lower middle income,Middle East & North Africa,Africa,0.43553022965495697,-2.7380671971262003,4,1,1
51,9.39,30.16,12.620000000000001,2.26,13.6,6.4,El Salvador,SLV,Lower middle income,Latin America & Caribbean,North America,0.23434935739926863,-0.2520969824277545,0,6,3
53,2.4,36.44,3.9899999999999998,0.08,38.4,2.9,Ethiopia,ETH,Low income,Sub-Saharan Africa,Africa,-2.0617191115952176,-1.0721818443460107,2,2,0
54,15.77,25.08,5.33,10.4,7.5,5.1,Fiji,FJI,Upper middle income,East Asia & Pacific,Australia,0.20662157658623212,1.2928499250836165,0,3,3
58,17.11,24.56,3.44,10.01,17.0,7.7,Gabon,GAB,Upper middle income,Sub-Saharan Africa,Africa,-0.009990347743437093,1.09251639029393,0,3,2
59,2.5300000000000002,40.66,4.8100000000000005,6.76,24.6,3.2,Gambia,GMB,Low income,Sub-Saharan Africa,Africa,-1.4061575004676177,-0.6479039465045129,2,2,0
60,8.809999999999999,43.74,14.879999999999999,3.16,11.3,19.9,Georgia,GEO,Lower middle income,Europe & Central Asia,Asia,1.6597096905416338,-2.018465573063608,4,1,1
61,26.770000000000003,26.41,28.220000000000002,4.45,1.3,3.5,Germany,DEU,High income,Europe & Central Asia,Eurpoe,2.5611584815555704,0.750287611602528,5,5,3
62,4.09,18.0,1.21,8.64,18.8,2.6,Ghana,GHA,Lower middle income,Sub-Saharan Africa,Africa,-1.4525756653048711,1.4591103478091991,1,0,2
65,8.68,31.13,8.2,0.4,46.7,4.9,Guatemala,GTM,Upper middle income,Latin America & Caribbean,North America,-1.5868548415055708,-0.7587874392799238,2,2,0
66,3.6999999999999997,28.82,2.3200000000000003,2.74,32.4,4.0,Guinea,GIN,Low income,Sub-Saharan Africa,Africa,-1.7895834669526627,-0.18014179985779796,2,2,0
67,5.74,26.52,1.91,0.44,27.6,2.3,Guinea-Bissau,GNB,Low income,Sub-Saharan Africa,Africa,-1.654756205859354,-0.0003973569031787404,2,2,0
68,13.68,28.07,13.07,8.07,11.3,5.3,Guyana,GUY,Upper middle income,Latin America & Caribbean,South America,0.4978375866751736,0.6285223572835672,0,3,3
69,5.66,19.25,1.9100000000000001,1.45,21.9,3.4,Haiti,HTI,Low income,Latin America & Caribbean,North America,-1.3553790874746248,0.6522939111375664,1,0,2
70,11.5,30.36,10.16,1.09,22.6,5.2,Honduras,HND,Lower middle income,Latin America & Caribbean,North America,-0.28239597718637277,-0.3242799145028053,2,6,0
73,1.3599999999999999,32.34,8.92,1.55,37.9,2.4,India,IND,Lower middle income,South Asia,Asia,-1.8172410339270009,-0.6862803634547778,2,2,0
74,4.43,35.08,2.7199999999999998,9.44,36.4,11.5,Indonesia,IDN,Lower middle income,East Asia & Pacific,Asia,-1.2244325355736267,-0.5226257798933716,2,6,0
75,12.379999999999999,43.32,6.619999999999999,2.8,6.8,6.9,Iran (Islamic Republic of),IRN,Upper middle income,Middle East & North Africa,Asia,0.35055684588268593,-0.9990699981313418,4,1,1
76,6.8100000000000005,42.6,4.6,0.91,22.1,11.4,Iraq,IRQ,Upper middle income,Middle East & North Africa,Asia,-0.3460984349162033,-1.669075264532189,4,6,0
80,19.36,24.93,9.3,6.7,6.0,8.3,Jamaica,JAM,Upper middle income,Latin America & Caribbean,North America,1.0337605874234541,0.828814545023756,0,3,3
81,16.15,21.98,13.16,17.96,7.1,1.5,Japan,JPN,High income,East Asia & Pacific,Asia,0.45623234720074823,2.3286751163347894,0,3,3
82,16.7,39.28,9.45,1.43,7.8,4.7,Jordan,JOR,Upper middle income,Middle East & North Africa,Asia,0.5562598972479238,-0.6330112768141083,4,1,1
83,22.22,24.96,27.979999999999997,1.59,8.0,9.3,Kazakhstan,KAZ,Upper middle income,Europe & Central Asia,Asia,2.5095443715772423,0.07444356080576818,5,5,3
84,5.029999999999999,28.03,8.41,1.26,26.2,4.1,Kenya,KEN,Lower middle income,Sub-Saharan Africa,Africa,-1.028398522515363,-0.24250914204603832,2,6,0
85,11.23,22.83,2.67,22.3,34.4,15.9,Kiribati,KIR,Lower middle income,East Asia & Pacific,Australia,-0.4275724476633859,1.525991173098851,1,0,2
86,29.630000000000003,35.0,16.78,3.94,4.9,6.0,Kuwait,KWT,High income,Middle East & North Africa,Asia,2.029128374193201,0.09389111098520936,5,5,3
87,12.139999999999999,36.95,20.720000000000002,0.69,12.9,7.0,Kyrgyzstan,KGZ,Lower middle income,Europe & Central Asia,Asia,1.0596441016188023,-0.9944063593491036,4,1,1
88,6.6899999999999995,36.86,0.86,6.01,44.2,2.0,Lao People's Democratic Republic,LAO,Lower middle income,East Asia & Pacific,Asia,-2.3522081929660503,-0.42965894552206796,2,2,0
90,15.42,28.88,10.24,2.85,16.5,16.7,Lebanon,LBN,Upper middle income,Middle East & North Africa,Asia,1.1874809723438113,-0.5511957943859567,4,1,1
91,6.7299999999999995,52.19,2.19,0.26,33.4,7.5,Lesotho,LSO,Lower middle income,Sub-Saharan Africa,Africa,-1.28623394785459,-2.3398580157664566,2,6,0
92,4.46,21.61,0.9400000000000001,1.15,32.1,3.2,Liberia,LBR,Low income,Sub-Saharan Africa,Africa,-1.9177594277223178,0.3176457588227862,1,2,0
