HouseholdId,Our_HouseholdId,Cell_Coord_y_round,Cell_Coord_x_round,MDD21,MDD22,MDD23,MDD24,MDD25,MDD26,MDD27,MDD28,MDD29,MDD30,MMD10,Urban.Rural,fao1,fao2,fao3,fao4,fao5,fao6,fao7,fao8,fao9,fao10,fao11,fao12,FAO12,ISO3N,Primary_Religion,Percent_Primary_Religion,Percent_Christian,GDP_PPP_2015,GDP_PPP_2000,GDP_PPP_1990,Population_2015,Population_2000,Population_1990,Cell_Coord_x,Cell_Coord_y,PerCapita_GDP_2000,PerCapita_GDP_1990,ISO3C,Continent,World_Region,Travel_time_to_cities group,PerCapita_GDP_2015 group,dist_popcenter group,dist_road group
101014000000.0,58,-9.58,33.25,1,1,0,1,1,0,0,0,1,0,2,0,1,1,1,1,0,0,1,1,1,1,0,1,9,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,59,-9.58,33.25,1,1,1,0,1,1,0,0,1,1,2,0,1,1,1,1,0,1,0,1,1,1,1,1,10,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,60,-9.58,33.25,1,1,0,0,1,0,1,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,5,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,61,-9.58,33.25,1,1,1,1,1,0,0,0,1,0,2,0,1,0,1,1,1,0,1,1,1,1,0,1,9,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,62,-9.58,33.25,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,5,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,63,-9.58,33.25,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,4,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101014000000.0,64,-9.58,33.25,1,1,0,0,1,1,1,0,1,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,7,454,0,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.7116190000002,1012.530833,771.9422443,33.20833333,-9.541666667000001,1502.086437,1671.033142,MWI,Africa,Eastern Africa,13,3,9,1
101016000000.0,81,-9.67,33.42,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,12,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
101016000000.0,82,-9.67,33.42,1,0,0,1,1,0,0,0,1,1,2,0,1,0,0,1,1,1,1,1,1,1,0,1,9,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
101016000000.0,83,-9.67,33.42,1,1,1,0,1,0,0,0,1,0,2,0,1,1,1,1,1,0,0,1,1,1,0,1,9,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
101016000000.0,84,-9.67,33.42,1,1,1,1,1,1,0,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,12,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
101016000000.0,85,-9.67,33.42,1,0,0,1,1,0,0,0,1,1,2,0,1,1,0,1,0,1,1,1,1,1,0,1,9,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
101016000000.0,86,-9.67,33.42,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,12,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,8,2
101016000000.0,87,-9.67,33.42,1,1,0,0,1,0,0,1,1,0,2,0,1,1,1,1,0,0,0,0,0,1,0,1,6,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,8,2
101016000000.0,88,-9.67,33.42,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,7,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,8,2
101016000000.0,89,-9.67,33.42,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,8,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,2
101016000000.0,90,-9.67,33.42,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,6,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,2
101016000000.0,91,-9.67,33.42,1,1,1,1,1,1,0,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,12,454,0,97.5,97.5,1933151.0019999999,901012.1605,764182.9218,946.2646768,1267.524436,964.5249487,33.375,-9.625,710.8440159,792.2894299999999,MWI,Africa,Eastern Africa,16,3,7,1
