,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
8493,0.0714285714285714,0.0,0.0,0.0714285714285714,0.428571428571428,0.0714285714285714,1,11099.12,16.06418,0.0,2.0,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,1,1,1,1,2
8642,0.0769230769230769,0.3125,0.125,0.3125,0.776923076923078,0.5,7,273878.5,0.0,7.188458,7.64607,6.347016,7.171937,MMR,Myanmar,MMR,2013.0,82.61,1,4,1,2,1,2,4
8644,0.277777777777778,0.25555555555555604,0.0555555555555555,0.311111111111111,1.03333333333333,0.588888888888889,1,345.3628,2.737947,0.0,2.0,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,2,2,1,2,5
8645,0.33333333333333304,0.0833333333333333,0.0,0.0,0.666666666666667,0.4166666666666671,1,1284.274,41.727090000000004,0.0,2.0,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,2,1,1,1,3
8759,0.5,0.222222222222222,0.7777777777777779,0.125,1.14285714285714,1.44444444444444,3,58981.26,15.77545,6.787350999999999,6.764372,7.2431470000000004,5.148307,IND,India,IND,2013.0,60.25,1,4,3,1,4,1,5
8933,0.5,0.166666666666667,0.0,0.0,1.0,0.666666666666667,1,2029208.0,0.0,0.0,2.0,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,1,1,1,5
9047,0.5,0.166666666666667,0.33333333333333304,0.0,0.6,1.0,1,427430.5,10.00286,7.2621009999999995,7.015646,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,3,1,2,1,3
9049,0.25,0.33333333333333304,0.111111111111111,0.25,0.583333333333333,0.6388888888888891,1,376871.4,17.825039999999998,4.173955,5.965656,5.43278,4.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,2,2,1,2,3
9059,0.36363636363636404,0.153846153846154,0.46153846153846206,0.0,0.7142857142857142,0.923076923076923,1,377209.3,1.763463,0.29053720000000005,4.028601,4.574585,4.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,1,2,1,2,1,3
9060,0.111111111111111,0.24285714285714302,0.2,0.2,0.7619047619047621,0.5428571428571429,1,611512.2,20.21123,2.059875,4.623756,4.511566999999999,4.2470300000000005,IND,India,IND,2013.0,60.25,1,2,1,1,1,1,4
9084,0.7142857142857142,0.0,0.14285714285714302,0.28571428571428603,0.857142857142857,0.857142857142857,1,74726.73,22.75695,0.0,2.0,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,1,1,2,4
9188,0.2,0.0833333333333333,0.166666666666667,0.0,1.33333333333333,0.4166666666666671,1,106833.1,5.504758,7.690767999999999,7.931338,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,6
